Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,Yes,4820,919,177,120,1.0,Rural,1
Female,Yes,2,Not Graduate,No,7880,2088,154,240,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,3647,3169,140,240,0.0,Rural,0
Male,No,0,Graduate,No,8601,1894,142,180,1.0,Urban,1
Male,Yes,0,Graduate,No,4919,304,140,120,0.0,Urban,1
Female,Yes,0,Graduate,Yes,2138,1944,206,120,1.0,Rural,0
Male,No,3+,Not Graduate,No,5256,2696,179,360,1.0,Urban,1
Male,Yes,0,Not Graduate,Yes,3637,890,50,240,1.0,Rural,1
Male,No,3+,Not Graduate,Yes,6681,1365,182,120,1.0,Urban,1
Female,No,3+,Not Graduate,Yes,3694,1514,159,120,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,4107,715,149,300,1.0,Rural,1
Male,No,0,Graduate,Yes,1500,2148,130,300,1.0,Semiurban,1
Male,Yes,1,Graduate,No,4095,1379,206,120,0.0,Semiurban,0
Male,No,2,Graduate,No,1500,1919,197,360,1.0,Rural,1
Female,No,0,Not Graduate,No,1832,612,111,120,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,6520,1062,170,180,1.0,Rural,1
Female,No,1,Graduate,Yes,6571,2222,101,240,1.0,Semiurban,1
Female,No,2,Graduate,No,5850,1127,81,360,1.0,Rural,1
Female,No,3+,Not Graduate,Yes,3066,3226,118,180,1.0,Rural,1
Male,No,0,Graduate,No,4904,1100,193,360,0.0,Urban,1
Female,No,2,Not Graduate,Yes,4992,1724,197,180,1.0,Rural,1
Male,Yes,0,Graduate,Yes,2683,2432,175,240,1.0,Rural,1
Female,No,1,Graduate,No,8006,81,186,240,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,6754,0,175,300,1.0,Rural,1
Female,No,3+,Graduate,Yes,4558,0,117,180,1.0,Urban,1
Female,Yes,1,Graduate,No,5053,2762,171,300,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,5416,948,190,180,1.0,Semiurban,1
Female,No,2,Graduate,No,1500,4058,187,300,1.0,Urban,1
Female,No,0,Not Graduate,No,4505,935,209,240,1.0,Semiurban,1
Female,No,0,Not Graduate,No,3636,1684,185,360,1.0,Semiurban,1
Male,Yes,2,Not Graduate,Yes,2996,3042,167,300,1.0,Semiurban,1
